id;start_academic_year;specialization;studies_level;studies_type;field_of_study_id
1;2015;DATA_SCIENCE;II;STATIONARY;1
2;2016;SOFTWARE_DEVELOPMENT;II;NONSTATIONARY;1
3;2016;IT_SYSTEMS_DESIGN;II;NONSTATIONARY;1
4;2012;IT_SYSTEMS_DESIGN;II;NONSTATIONARY;2
5;2013;IT_SYSTEMS_DESIGN;II;NONSTATIONARY;2
6;2015;IT_SYSTEMS_DESIGN;I;STATIONARY;2
7;2013;SOFTWARE_DEVELOPMENT;II;STATIONARY;1
8;2014;SOFTWARE_DEVELOPMENT;II;NONSTATIONARY;1
9;2015;SOFTWARE_DEVELOPMENT;I;STATIONARY;1
10;2016;DATA_SCIENCE;II;STATIONARY;1
